SampleID,Strain,Antibody,Condition,Treatment,Replicate,bamReads,Peaks,Peakcaller
WT_H3K36me3_Rep_1,WT,H3K36me3,ChIP,,1,bam_files/DiffBind/CAF/149-99_ChIP_WT_H3K36me3_Rep3_S123.bam,../peak_files/DiffBind/CAF-1_Paper/WT_H3K36me3_Rep1_peaks.broadPeak,macs
WT_H3K36me3_Rep_2,WT,H3K36me3,ChIP,,2,bam_files/DiffBind/CAF/150-93_ChIP_WT_H3K36me3_Rep4_S93.bam,../peak_files/DiffBind/CAF-1_Paper/WT_H3K36me3_Rep2_peaks.broadPeak,macs
WT_H3K36me3_Rep_3,WT,H3K36me3,ChIP,,3,bam_files/DiffBind/CAF/138-62_ChIP_WT_H3K36me3_Rep2_6252_S61.bam,../peak_files/DiffBind/CAF-1_Paper/WT_H3K36me3_Rep3_peaks.broadPeak,macs
cac-1_H3K36me3_Rep_1,cac1,H3K36me3,ChIP,,1,bam_files/DiffBind/CAF/149-100_ChIP_cac-1_H3K36me3_Rep3_S124.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_H3K36me3_Rep1_peaks.broadPeak,macs
cac-1_H3K36me3_Rep_2,cac1,H3K36me3,ChIP,,2,bam_files/DiffBind/CAF/150-94_ChIP_cac-1_H3K36me3_Rep4_S94.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_H3K36me3_Rep2_peaks.broadPeak,macs
cac-1_H3K36me3_Rep_3,cac1,H3K36me3,ChIP,,3,bam_files/DiffBind/CAF/138-63_ChIP_cac-1_H3K36me3_Rep2_6252_S62.bam,../peak_files/DiffBind/CAF-1_Paper/cac-1_H3K36me3_Rep3_peaks.broadPeak,macs
cac-2_H3K36me3_Rep_1,cac2,H3K36me3,ChIP,,1,bam_files/DiffBind/CAF/149-101_ChIP_cac-2_H3K36me3_Rep3_S125.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_H3K36me3_Rep1_peaks.broadPeak,macs
cac-2_H3K36me3_Rep_2,cac2,H3K36me3,ChIP,,2,bam_files/DiffBind/CAF/150-116_ChIP_cac-2_H3K36me3_Rep4_S131.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_H3K36me3_Rep2_peaks.broadPeak,macs
cac-2_H3K36me3_Rep_3,cac2,H3K36me3,ChIP,,3,bam_files/DiffBind/CAF/138-64_ChIP_cac-2_H3K36me3_Rep2_6252_S63.bam,../peak_files/DiffBind/CAF-1_Paper/cac-2_H3K36me3_Rep3_peaks.broadPeak,macs
cac-3_H3K36me3_Rep_1,cac3,H3K36me3,ChIP,,1,bam_files/DiffBind/CAF/149-102_ChIP_cac-3_H3K36me3_Rep3_S126.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_H3K36me3_Rep1_peaks.broadPeak,macs
cac-3_H3K36me3_Rep_2,cac3,H3K36me3,ChIP,,2,bam_files/DiffBind/CAF/150-131_ChIP_cac-3_H3K36me3_Rep4_S146.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_H3K36me3_Rep2_peaks.broadPeak,macs
cac-3_H3K36me3_Rep_3,cac3,H3K36me3,ChIP,,3,bam_files/DiffBind/CAF/138-65_ChIP_cac-3_H3K36me3_Rep2_6252_S64.bam,../peak_files/DiffBind/CAF-1_Paper/cac-3_H3K36me3_Rep3_peaks.broadPeak,macs
